Activity Date,Distance,Elapsed Time,Pace_sec_per_km,Elev_gain_per_km,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2022-06-11 21:30:22,91.16,9729,106724.4405440983,5127.248726376525,0.53737,5.665014944156049,0,1,40.2235,2390.0
2022-06-18 03:40:42,60.7,8877,146243.82207578252,2767.7100494233937,0.53797,0.11165491188565306,0,0,40.2505,1190.0
2022-06-21 03:47:30,61.09,7960,130299.55802913733,196.43149451628742,0.5380900000000001,0.02230607654704166,0,1,40.264,1291.0
2022-06-23 00:21:46,61.09,8368,136978.2288426911,2864.625961695858,0.49915000000000004,-7.236707613967928,0,1,40.264,1320.0
2022-07-12 07:06:23,25.84,5748,222445.82043343654,0.0,0.42354,-15.147751177000904,0,0,40.331500000000005,876.0
2022-08-20 01:04:24,80.49,11632,144514.84656479067,2174.1831283389242,0.44307,4.611134721631957,0,1,40.480000000000004,1706.0
2022-08-23 00:36:56,34.93,5013,143515.6026338391,343.5442313197824,0.4153,-6.267632653982444,0,1,40.4935,813.0
2022-08-25 01:06:24,47.68,6611,138653.52348993288,272.6510067114094,0.37182000000000004,-10.469540091500111,0,1,40.4935,1025.0
2022-08-26 02:40:08,26.14,3886,148661.0558530987,153.0221882172915,0.33726,-9.294820074229476,0,0,40.4935,536.0
2022-08-27 00:25:00,98.39,13927,141548.9379001931,1626.1815225124503,0.37456,11.059716539168592,0,1,40.507000000000005,2023.0
2022-08-30 09:59:14,63.39,7434,117274.01798390913,0.0,0.37686,0.6140538231524906,0,1,40.520500000000006,1207.0
2022-09-01 07:07:31,50.0,7298,145960.0,0.0,0.40102000000000004,6.4108687576288474,0,0,40.520500000000006,1123.0
2022-09-03 01:49:50,107.44,13548,126098.28741623233,130.30528667163068,0.42797,6.720363074160883,0,1,40.534,2264.0
2022-09-05 23:46:15,60.77,7660,126049.03735395754,148.09939114694748,0.45381,6.03780638829824,0,1,40.534,1320.0
2022-09-08 23:39:57,31.69,3613,114010.72893657304,0.0,0.43782,-3.5235010246578975,0,1,40.54750000000001,516.0
