Begin Timestamp,Distance (Raw),Duration_sec,Pace_sec_per_km,Elev_gain_per_km,Weather_Index,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2017-04-06 12:42:00,10.81228,3996,367082.6134728291,29780.95276851876,25.450000000000003,0.05037207,12.998410863912174,0,0,35.96930930930931,806.0
2017-04-11 12:07:00,8.66881,3543,407206.98688747355,36337.16738514283,25.65,0.052714479999999994,4.650215883524335,0,0,32.86091447925487,753.0
2017-05-02 13:56:00,5.33116,1608,298621.68833799777,14255.809242266225,24.3,0.05023243,-4.70847858121714,0,1,43.284776119402984,350.0
2017-05-05 16:04:00,7.78938,2898,362930.0406450834,32480.120369015247,22.6,0.052929989999999996,5.370156291463492,0,0,35.75416149068323,623.0
2017-05-06 10:20:00,5.56657,2182,391982.8547920892,40419.863578469325,25.400000000000002,0.04956,-6.3668819888309,0,0,34.113583868011006,411.0
2017-05-08 11:21:00,6.44058,2323,356955.4294799537,32450.4935890867,29.75,0.04837223,-2.3966303470540713,0,1,36.77032285837279,542.0
2017-05-09 15:32:00,6.49227,2662,405097.13859713165,30343.778062218604,25.950000000000003,0.05110105,5.641294602295573,0,0,32.76643125469572,668.0
2017-07-05 10:31:00,6.71703,2092,311596.04765796784,12356.651674921803,30.9,0.0470058,-8.014023195218105,0,1,42.0298087954111,438.0
2017-08-04 13:14:00,9.28729,3307,352524.7946386944,22826.89568216347,21.4,0.047624280000000005,1.3157525241566033,0,1,37.200477774417905,679.0
2017-09-08 16:22:00,6.14427,2210,359684.7143761586,34503.692057803455,22.6,0.04843739,1.7073433971075087,0,1,36.8625520361991,464.0
2017-10-05 16:35:00,6.84644,2511,356389.5980976975,29504.384760547084,19.85,0.04749445,-1.9467192596463112,0,1,36.2189486260454,508.0
2017-10-09 13:45:00,10.85331,4117,375737.90852744464,29391.955080984513,23.65,0.052781190000000006,11.131279549505269,0,0,35.134617439883414,941.0
2017-11-03 09:28:00,5.06357,1615,318944.934107754,14614.195123203588,25.0,0.05140418,-2.6089029065089377,0,1,41.12404953560372,381.0
2017-11-04 11:36:00,10.61645,3847,360478.3143141068,25243.843280946076,21.3,0.05552836,8.023044040387372,0,1,36.616038471536264,771.0
2017-12-03 14:49:00,9.23407,3330,357805.3880899755,23391.635540991138,25.0,0.058045400000000004,4.532890940773337,0,1,36.77592792792793,834.0
,6.60755,2358,351718.86705359776,31479.14128534782,23.8,0.055365660000000004,-4.61662767419985,0,1,37.1262086513995,528.0
,7.75709,2890,370886.50511983235,31712.92327406283,24.5,0.056978480000000005,2.913033096688454,0,0,35.70937024221453,661.0
,7.90049,2843,359471.3745603121,30251.288211237534,27.0,0.05803253,1.8499089480800361,0,1,36.84712627506155,638.0
,9.27718,3897,419631.8277752507,27163.426817200918,26.1,0.0564564,-2.7159422482528366,0,0,32.067143956889915,821.0
,6.34478,2258,353361.34586226783,32940.464444787685,21.85,0.05773761,2.269379556613608,0,1,37.21893711248893,515.0
,6.29003,2269,349282.91280009795,33704.13177679598,27.6,0.05341119,-7.493244005077461,0,1,36.76591449977964,562.0
,5.4634,1800,329465.168210272,549.1086136837866,25.25,0.049640519999999994,-7.059700411093638,0,1,39.922666666666665,304.0
,10.76584,3455,320922.47330445185,2600.818886403662,23.25,0.05379881,8.37680588358061,0,1,40.892208393632416,768.0
,3.44782,1096,290038.34306895366,2610.3450876205834,20.5,0.04948954,-8.009972711292319,0,1,41.24985401459855,226.0
,8.23837,2493,302608.4043324104,485.53293916150886,21.55,0.049827420000000004,0.6827301284271498,0,1,43.15521058965102,583.0
,4.1574,1211,291287.8241208447,721.6048491845864,25.950000000000003,0.04470764,-10.275025277246954,0,1,44.6963666391412,257.0
,6.12939,2314,362678.83100928477,33771.71300896174,26.200000000000003,0.04449225,-0.4817744797086198,0,0,35.285946413137424,498.0
,7.59412,2965,390697.0129521261,31866.760072266436,26.4,0.04579634,2.9310497895700958,0,0,34.23505564924115,678.0
,6.08745,2259,371091.3436660671,33511.56888352266,28.0,0.04642039,1.3626634792212675,0,0,35.83705179282869,587.0
