personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p02,2019-11-09,7475000,12825.0,1325,122.94,103.5,18480000,270,38,94.0
p02,2019-11-10,6918000,8478.0,1096,111.56,105.67,28140000,417,52,99.0
p02,2019-11-11,7312000,15858.0,1556,256.64,109.0,26040000,383,51,91.0
p02,2019-11-12,11808000,11717.0,1749,221.59,100.75,22620000,323,54,94.0
p02,2019-11-13,5446000,11278.0,1203,194.46,121.0,26400000,359,81,98.0
p02,2019-11-14,3431000,5367.0,538,85.34,101.0,25740000,375,54,99.0
p02,2019-11-15,6455000,6324.0,1068,84.43,106.0,24000000,342,58,93.0
p02,2019-11-16,4128000,10211.0,1062,189.28,147.0,29280000,393,95,92.0
p02,2019-11-18,12271000,14307.0,2085,255.73,115.25,23340000,338,51,96.0
p02,2019-11-20,10446000,14958.0,1404,228.6,95.0,22500000,322,53,91.0
p02,2019-11-21,5479000,8917.0,888,167.64,104.0,25380000,335,88,90.0
p02,2019-11-22,10292000,8080.0,1875,201.47,117.5,26100000,378,57,99.0
p02,2019-11-23,3379000,5399.0,483,70.1,97.0,30540000,452,57,91.0
p02,2019-11-25,11427000,18870.0,1970,409.35,106.0,26880000,418,30,96.0
p02,2019-11-26,9984000,16697.0,1433,249.94,93.75,25920000,354,78,97.0
p02,2019-11-27,4558000,6984.0,970,157.89,131.5,25560000,371,55,92.0
p02,2019-11-29,6452000,10711.0,901,170.69,91.0,26760000,404,42,94.0
p02,2019-12-01,10856000,15990.0,1540,146.3,96.33,30540000,399,110,96.0
p02,2019-12-02,11060000,17976.0,1684,213.36,100.6,51000000,752,98,93.0
p02,2019-12-03,5712000,6308.0,986,71.93,108.33,26400000,382,58,99.0
p02,2019-12-04,3123000,4436.0,429,112.78,91.0,26580000,392,51,92.0
