Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Athlete Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Relative Effort.1,Commute.1
2189888880,"5 Nov 2018, 18:21:59","New York, Manhattan / New York, Central Park",Run,2195,5.64,164.0,40.0,False,activities/2333656956.fit.gz,84.0,2195.0,1992.0,5640.39990234375,5.199999809265137,39.3807258605957,15.0,38.0,21.700000762939453,0.2304801046848297,141.0,81.17118835449219,145.87298583984375,400.0,40.0,0.0
2189888894,"4 Nov 2018, 13:21:56","New York, Central Park",Run,4691,9.00,163.0,58.0,False,activities/2333656958.fit.gz,84.0,4691.0,3172.0,9003.099609375,3.700000047683716,62.728145599365234,14.100000381469728,38.0,21.600000381469727,-0.0677544400095939,117.0,81.18525695800781,144.81256103515625,634.0,58.0,0.0
2189888928,"3 Nov 2018, 18:42:07","New York, Central Park",Run,5000,10.02,172.0,101.0,False,activities/2333656997.fit.gz,84.0,5000.0,3431.0,10024.400390625,3.400000095367432,55.10955810546875,14.399999618530272,38.0,33.599998474121094,-0.0598539561033248,105.0,81.84638214111328,153.52073669433594,702.0,101.0,0.0
2189888954,"28 Oct 2018, 18:45:33","Montréal, Île de Montréal",Run,5986,16.09,173.0,143.0,False,activities/2333657046.fit.gz,84.0,5986.0,5560.0,16097.599609375,3.5999999046325684,26.177217483520508,9.800000190734863,21.899999618530277,17.100000381469727,0.03727263584733,141.0,81.77647399902344,153.01353454589844,1139.0,143.0,0.0
2189888973,"21 Oct 2018, 15:20:23","Montréal, Île de Montréal",Run,7907,19.12,180.0,339.0,False,activities/2333657050.fit.gz,84.0,7907.0,6741.0,19125.0,3.400000095367432,44.12245559692383,6.800000190734863,21.899999618530277,12.399999618530272,0.0,129.0,81.75536346435547,167.7113800048828,1317.0,339.0,0.0
2189888984,"20 Oct 2018, 15:34:52","Montréal, Île de Montréal",Run,7095,10.04,173.0,120.0,False,activities/2333657083.fit.gz,84.0,7095.0,3351.0,10043.2001953125,3.799999952316284,25.74141311645508,9.800000190734863,21.0,9.300000190734863,0.0009956986177712,105.0,82.11958312988281,161.35281372070312,698.0,120.0,0.0
2189889008,"13 Oct 2018, 20:47:16","Montréal, Île de Montréal",Run,3391,10.20,178.0,103.0,False,activities/2333657109.fit.gz,84.0,3391.0,3346.0,10202.2001953125,3.799999952316284,23.972654342651367,9.800000190734863,21.0,8.699999809265137,-0.017643254250288,129.0,82.1661148071289,157.47972106933594,696.0,103.0,0.0
2189889028,"14 Oct 2018, 13:29:43","Montréal, Île de Montréal",Run,7328,20.31,172.0,218.0,False,activities/2333657110.fit.gz,84.0,7328.0,7005.0,20312.599609375,3.700000047683716,41.80315017700195,6.800000190734863,21.899999618530277,8.899999618530273,0.0,94.0,82.15966796875,157.5008544921875,1395.0,218.0,0.0
2189889060,"8 Oct 2018, 15:58:21","Montréal, Île de Montréal / Montréal, Lachine Canal National Historic Site of Canada",Run,6634,18.01,190.0,380.0,False,activities/2333657147.fit.gz,84.0,6634.0,6025.0,18010.099609375,4.0,36.68049621582031,6.800000190734863,21.899999618530277,10.800000190734863,0.0,140.0,82.49651336669922,179.44454956054688,1242.0,380.0,0.0
2189889068,"7 Oct 2018, 16:14:35","Montréal, Île de Montréal / Longueuil",Run,4799,6.37,123.0,9.0,False,activities/2333657182.fit.gz,84.0,4799.0,1608.0,6372.7998046875,2.0,42.29761505126953,6.900000095367432,19.299999237060547,41.5,-0.0125533519312739,188.0,52.033836364746094,106.96794128417967,486.0,9.0,0.0
